0.000	60	124	sine	0.012	0.207	0.344	0.207
10.000	60	64	sine	0.059	0.277	0.609	0.263
30.000	61	64	saw	0.064	0.253	0.659	0.969
184.000	80	57	saw	0.025	0.274	0.725	0.847
199.000	81	70	saw	0.016	0.094	0.72	0.298
229.000	83	70	pulse	0.074	0.292	0.853	0.27
259.000	81	70	saw	0.043	0.092	0.555	0.545
289.000	83	70	pulse	0.081	0.08	0.492	0.563
468.000	81	58	pulse	0.016	0.112	0.599	0.183
488.000	81	64	saw	0.017	0.155	0.622	0.4
528.000	85	64	sine	0.086	0.088	0.425	0.724
568.000	89	64	pulse	0.08	0.152	0.351	0.66
753.000	55	68	saw	0.059	0.241	0.379	0.736
768.000	56	70	pulse	0.062	0.296	0.453	0.92
798.000	58	70	saw	0.089	0.184	0.456	0.508
828.000	56	70	pulse	0.037	0.223	0.493	0.372
858.000	58	70	saw	0.03	0.225	0.893	0.65
1140.000	59	72	pulse	0.067	0.112	0.416	0.508
1150.000	59	50	saw	0.066	0.223	0.59	0.417
1170.000	60	50	sine	0.08	0.119	0.705	0.67
1190.000	61	50	saw	0.026	0.15	0.687	0.898
1210.000	62	50	saw	0.067	0.064	0.759	0.965
1230.000	63	50	sine	0.037	0.065	0.858	0.848
1419.000	51	64	pulse	0.073	0.201	0.489	0.921
1439.000	51	64	sine	0.073	0.173	0.511	0.663
1479.000	55	64	pulse	0.082	0.055	0.871	0.599
1519.000	59	64	sine	0.041	0.248	0.449	0.552
1710.000	54	67	saw	0.038	0.232	0.608	0.941
1720.000	54	64	saw	0.059	0.063	0.726	0.32
1740.000	55	64	saw	0.056	0.13	0.502	0.819
1924.000	48	61	pulse	0.096	0.194	0.547	0.697
2092.000	76	53	sine	0.067	0.24	0.637	0.876
2107.000	77	70	sine	0.031	0.113	0.389	0.446
2137.000	79	70	saw	0.025	0.295	0.423	0.285
2167.000	77	70	pulse	0.054	0.283	0.369	0.743
2197.000	79	70	pulse	0.087	0.161	0.349	0.683
2464.000	81	58	saw	0.08	0.27	0.347	0.268
2474.000	81	64	saw	0.02	0.053	0.373	0.683
2494.000	82	64	pulse	0.068	0.077	0.798	0.493
2669.000	55	68	sine	0.035	0.141	0.611	0.589
2679.000	55	50	saw	0.086	0.236	0.742	0.283
2699.000	56	50	saw	0.068	0.265	0.763	0.23
2719.000	57	50	pulse	0.073	0.065	0.745	0.108
2739.000	58	50	saw	0.007	0.254	0.511	0.52
2759.000	59	50	sine	0.042	0.276	0.871	0.733
3123.000	78	55	saw	0.052	0.171	0.847	0.24
3285.000	57	70	pulse	0.026	0.214	0.81	0.362
3462.000	48	61	pulse	0.063	0.102	0.796	0.889
3472.000	48	50	sine	0.024	0.174	0.678	0.417
3492.000	49	50	pulse	0.053	0.3	0.402	0.359
3512.000	50	50	sine	0.099	0.107	0.692	0.217
3532.000	51	50	pulse	0.023	0.195	0.705	0.736
3552.000	52	50	pulse	0.059	0.107	0.426	0.449
3730.000	48	61	saw	0.023	0.286	0.334	0.855
3750.000	48	64	sine	0.014	0.203	0.865	0.471
3790.000	52	64	pulse	0.052	0.175	0.533	0.973
3830.000	56	64	pulse	0.08	0.078	0.513	0.463
4110.000	51	64	sine	0.051	0.255	0.882	0.667
4120.000	51	64	pulse	0.085	0.076	0.716	0.496
4140.000	52	64	saw	0.078	0.116	0.623	0.442
4321.000	78	55	pulse	0.02	0.162	0.853	0.579
4331.000	78	50	saw	0.062	0.264	0.398	0.996
4351.000	79	50	pulse	0.03	0.247	0.507	0.192
4371.000	80	50	saw	0.063	0.166	0.391	0.307
4391.000	81	50	sine	0.042	0.081	0.652	0.612
4411.000	82	50	sine	0.066	0.086	0.661	0.169
4675.000	57	70	saw	0.083	0.225	0.683	0.864
4685.000	57	50	saw	0.027	0.217	0.609	0.6
4705.000	58	50	saw	0.096	0.196	0.728	0.43
4725.000	59	50	sine	0.052	0.067	0.676	0.611
4745.000	60	50	sine	0.025	0.156	0.341	0.625
4765.000	61	50	saw	0.065	0.242	0.842	0.157
5040.000	50	63	sine	0.05	0.148	0.418	0.135
5050.000	50	64	sine	0.028	0.171	0.315	0.577
5070.000	51	64	pulse	0.055	0.186	0.734	0.34
5250.000	54	67	saw	0.047	0.156	0.311	0.366
5260.000	54	50	sine	0.079	0.218	0.308	0.288
5280.000	55	50	sine	0.022	0.196	0.764	0.201
5300.000	56	50	pulse	0.014	0.284	0.46	0.493
5320.000	57	50	saw	0.098	0.121	0.637	0.699
5340.000	58	50	saw	0.03	0.208	0.869	0.706
5524.000	77	54	pulse	0.005	0.245	0.512	0.911
5534.000	77	50	pulse	0.018	0.233	0.845	0.325
5554.000	78	50	sine	0.021	0.242	0.802	0.53
5574.000	79	50	sine	0.037	0.285	0.595	0.644
5594.000	80	50	sine	0.026	0.21	0.504	0.343
5614.000	81	50	sine	0.097	0.056	0.657	0.872
5865.000	73	50	saw	0.026	0.287	0.487	0.287
5880.000	74	70	pulse	0.089	0.216	0.898	0.945
5910.000	76	70	pulse	0.009	0.071	0.675	0.507
5940.000	74	70	saw	0.061	0.065	0.487	0.284
5970.000	76	70	pulse	0.074	0.176	0.721	0.797
6142.000	55	68	sine	0.071	0.283	0.644	0.393
6317.000	51	64	pulse	0.049	0.292	0.402	0.864
6337.000	51	64	saw	0.023	0.264	0.528	0.35
6377.000	55	64	saw	0.029	0.273	0.489	0.341
6417.000	59	64	pulse	0.018	0.098	0.737	0.201
6608.000	50	63	sine	0.099	0.29	0.328	0.915
6618.000	50	50	pulse	0.039	0.272	0.463	0.365
6638.000	51	50	saw	0.091	0.09	0.342	0.642
6658.000	52	50	pulse	0.037	0.295	0.453	0.284
6678.000	53	50	sine	0.012	0.067	0.635	0.363
6698.000	54	50	pulse	0.051	0.277	0.781	0.138
6878.000	73	50	saw	0.01	0.175	0.524	0.372
6888.000	73	50	saw	0.025	0.163	0.378	0.987
6908.000	74	50	pulse	0.099	0.254	0.497	0.662
6928.000	75	50	saw	0.074	0.103	0.37	0.35
6948.000	76	50	saw	0.039	0.218	0.486	0.126
6968.000	77	50	pulse	0.091	0.112	0.342	0.438
7213.000	74	51	pulse	0.065	0.144	0.563	0.567
7233.000	74	64	pulse	0.02	0.232	0.489	0.313
7273.000	78	64	pulse	0.059	0.16	0.877	0.475
7313.000	82	64	pulse	0.075	0.103	0.749	0.732
7491.000	48	61	pulse	0.033	0.063	0.31	0.459
7501.000	48	64	saw	0.049	0.075	0.772	0.19
7521.000	49	64	saw	0.018	0.072	0.897	0.589
7699.000	77	54	saw	0.042	0.109	0.368	0.359
7709.000	77	50	pulse	0.038	0.073	0.345	0.138
7729.000	78	50	sine	0.062	0.198	0.554	0.85
7749.000	79	50	sine	0.075	0.218	0.337	0.409
7769.000	80	50	pulse	0.086	0.099	0.63	0.877
7789.000	81	50	pulse	0.086	0.218	0.862	0.119
8052.000	56	69	pulse	0.089	0.131	0.793	0.627
8067.000	57	70	sine	0.085	0.274	0.687	0.553
8097.000	59	70	sine	0.017	0.14	0.868	0.714
8127.000	57	70	pulse	0.064	0.28	0.398	0.916
8157.000	59	70	pulse	0.085	0.249	0.836	0.834
8348.000	80	57	pulse	0.057	0.106	0.317	0.853
8368.000	80	64	pulse	0.095	0.227	0.71	0.989
8408.000	84	64	sine	0.038	0.138	0.795	0.488
8448.000	88	64	saw	0.037	0.134	0.581	0.894
8632.000	81	58	pulse	0.058	0.162	0.328	0.7
8642.000	81	64	saw	0.024	0.224	0.553	0.824
8662.000	82	64	sine	0.099	0.27	0.432	0.441
8837.000	50	63	sine	0.007	0.223	0.759	0.942
9007.000	79	56	sine	0.074	0.197	0.598	0.585
9017.000	79	50	sine	0.085	0.161	0.647	0.475
9037.000	80	50	saw	0.045	0.078	0.555	0.614
9057.000	81	50	saw	0.042	0.21	0.795	0.745
9077.000	82	50	pulse	0.032	0.232	0.86	0.997
9097.000	83	50	sine	0.098	0.267	0.771	0.693
9270.000	55	68	sine	0.048	0.282	0.553	0.128
9280.000	55	64	saw	0.08	0.064	0.429	0.691
9300.000	56	64	pulse	0.09	0.194	0.43	0.51
